movieId,title,genres,imdbId,tmdbId,summary,score,cast,director,stars,popularity_score,num_critic_reviews,num_user_reviews
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,"Toy Story: Directed by John Lasseter. With Tom Hanks, Tim Allen, Don Rickles, Jim Varney. A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.",8.3,John Lasseter|Pete Docter|Andrew Stanton,John Lasseter,Tom Hanks|Tim Allen|Don Rickles,640.0,164.0,762.0
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,"Jumanji: Directed by Joe Johnston. With Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce. When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",7.0,Jonathan Hensleigh|Greg Taylor|Jim Strain,Joe Johnston,Robin Williams|Kirsten Dunst|Bonnie Hunt,596.0,83.0,320.0
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,"Grumpier Old Men: Directed by Howard Deutch. With Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret. John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",6.6,Walter Matthau|Jack Lemmon|Ann-Margret,Howard Deutch,Walter Matthau|Jack Lemmon|Ann-Margret,,30.0,70.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,"Waiting to Exhale: Directed by Forest Whitaker. With Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon. Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",5.9,Whitney Houston|Angela Bassett|Loretta Devine,Forest Whitaker,Whitney Houston|Angela Bassett|Loretta Devine,,30.0,63.0
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,"Father of the Bride Part II: Directed by Charles Shyer. With Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley. George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",6.0,Albert Hackett|Frances Goodrich|Nancy Meyers,Charles Shyer,Steve Martin|Diane Keaton|Martin Short,,40.0,81.0
6,Heat (1995),Action|Crime|Thriller,113277,949.0,"Heat: Directed by Michael Mann. With Al Pacino, Robert De Niro, Val Kilmer, Jon Voight. A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.",8.3,Al Pacino|Robert De Niro|Val Kilmer,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer,242.0,216.0,
7,Sabrina (1995),Comedy|Romance,114319,11860.0,"Sabrina: Directed by Sydney Pollack. With Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand. An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.3,Samuel A. Taylor|Billy Wilder|Ernest Lehman,Sydney Pollack,Harrison Ford|Julia Ormond|Greg Kinnear,,54.0,171.0
8,Tom and Huck (1995),Adventure|Children,112302,45325.0,"Tom and Huck: Directed by Peter Hewitt. With Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket. Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.",5.5,Jonathan Taylor Thomas|Brad Renfro|Charles Rocket,Peter Hewitt,Jonathan Taylor Thomas|Brad Renfro|Charles Rocket,,14.0,31.0
9,Sudden Death (1995),Action,114576,9091.0,"Sudden Death: Directed by Peter Hyams. With Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright. A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.",5.8,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry,Peter Hyams,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry,,77.0,144.0
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,"GoldenEye: Directed by Martin Campbell. With Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen. Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it.",7.2,Ian Fleming|Michael France|Jeffrey Caine,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco,,113.0,550.0
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,"The American President: Directed by Rob Reiner. With Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox. A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",6.8,Michael Douglas|Annette Bening|Martin Sheen,Rob Reiner,Michael Douglas|Annette Bening|Martin Sheen,,69.0,258.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,"Dracula: Dead and Loving It: Directed by Mel Brooks. With Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck. Mel Brooks' parody of the classic vampire story and its famous film adaptations.",5.8,Mel Brooks|Rudy De Luca|Steve Haberman,Mel Brooks,Leslie Nielsen|Mel Brooks|Peter MacNicol,,49.0,170.0
13,Balto (1995),Adventure|Animation|Children,112453,21032.0,"Balto: Directed by Simon Wells. With Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings. An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",7.1,Cliff Ruby|Elana Lesser|David Steven Cohen,Simon Wells,Kevin Bacon|Bob Hoskins|Bridget Fonda,,26.0,119.0
14,Nixon (1995),Drama,113987,10858.0,"Nixon: Directed by Oliver Stone. With Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris. A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",7.1,Anthony Hopkins|Joan Allen|Powers Boothe,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe,,81.0,180.0
